true_intent,pred_intent,true_id,pred_id,count
virtual_card_not_working,getting_virtual_card,72,40,6
beneficiary_not_allowed,failed_transfer,7,35,4
direct_debit_payment_not_recognised,card_payment_not_recognised,28,16,4
pending_transfer,transfer_timing,48,67,4
top_up_reverted,top_up_failed,61,59,4
why_verify_identity,unable_to_verify_identity,74,68,4
why_verify_identity,verify_my_identity,74,69,4
card_delivery_estimate,card_arrival,12,11,3
pending_top_up,top_up_failed,47,59,3
pending_transfer,transfer_not_received_by_recipient,48,66,3
transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer,66,5,3
transfer_not_received_by_recipient,transfer_timing,66,67,3
balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,5,66,2
balance_not_updated_after_bank_transfer,transfer_timing,5,67,2
card_not_working,declined_card_payment,14,25,2
card_payment_fee_charged,extra_charge_on_statement,15,34,2
card_payment_wrong_exchange_rate,wrong_exchange_rate_for_cash_withdrawal,17,76,2
declined_card_payment,declined_transfer,25,27,2
declined_cash_withdrawal,declined_transfer,26,27,2
declined_transfer,declined_card_payment,27,25,2
declined_transfer,failed_transfer,27,35,2
disposable_card_limits,get_disposable_virtual_card,29,37,2
disposable_card_limits,getting_virtual_card,29,40,2
get_disposable_virtual_card,getting_virtual_card,37,40,2
pending_transfer,balance_not_updated_after_bank_transfer,48,5,2
pin_blocked,get_physical_card,49,38,2
Refund_not_showing_up,request_refund,51,52,2
request_refund,Refund_not_showing_up,52,51,2
reverted_card_payment?,declined_card_payment,53,25,2
supported_cards_and_currencies,fiat_currency_support,54,36,2
top_up_by_bank_transfer_charge,top_up_by_card_charge,56,57,2
top_up_failed,pending_top_up,59,47,2
transfer_not_received_by_recipient,balance_not_updated_after_cheque_or_cash_deposit,66,6,2
transfer_not_received_by_recipient,pending_transfer,66,48,2
transfer_not_received_by_recipient,reverted_card_payment?,66,53,2
verify_my_identity,unable_to_verify_identity,69,68,2
wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge,76,19,2
wrong_exchange_rate_for_cash_withdrawal,wrong_amount_of_cash_received,76,75,2
activate_my_card,card_not_working,0,14,1
age_limit,topping_up_by_card,1,62,1
atm_support,country_support,3,24,1
automatic_top_up,pending_top_up,4,47,1
automatic_top_up,top_up_limits,4,60,1
automatic_top_up,topping_up_by_card,4,62,1
balance_not_updated_after_bank_transfer,beneficiary_not_allowed,5,7,1
balance_not_updated_after_bank_transfer,pending_transfer,5,48,1
beneficiary_not_allowed,declined_transfer,7,27,1
card_about_to_expire,card_delivery_estimate,9,12,1
card_about_to_expire,order_physical_card,9,43,1
card_acceptance,card_delivery_estimate,10,12,1
card_acceptance,visa_or_mastercard,10,73,1
card_arrival,card_about_to_expire,11,9,1
card_linking,activate_my_card,13,0,1
card_not_working,lost_or_stolen_phone,14,42,1
card_not_working,pin_blocked,14,49,1
card_payment_fee_charged,cash_withdrawal_charge,15,19,1
card_payment_fee_charged,transfer_fee_charged,15,64,1
